player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
1,4,0,-38.8,35.2,Character.FOX,Action.ENTRY,-1,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.2,Character.FOX,Action.ENTRY,-1,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.2,Character.FOX,Action.ENTRY,-1,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.2,Character.FOX,Action.ENTRY,-1,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.2,Character.FOX,Action.ENTRY,-1,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.244923,Character.FOX,Action.ENTRY_START,1,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.28984,Character.FOX,Action.ENTRY_START,2,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.334763,Character.FOX,Action.ENTRY_START,3,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.37968,Character.FOX,Action.ENTRY_START,4,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.424603,Character.FOX,Action.ENTRY_START,5,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.2,Character.FALCO,Action.ENTRY,-1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.469524,Character.FOX,Action.ENTRY_START,6,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.242424,Character.FALCO,Action.ENTRY_START,1,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.514442,Character.FOX,Action.ENTRY_START,7,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
2,4,0,38.8,35.28485,Character.FALCO,Action.ENTRY_START,2,False,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
1,4,0,-38.8,35.559364,Character.FOX,Action.ENTRY_START,8,True,60.0,1,False,False,0.0,0.0,0.0,0.0,0.0
